Channel,net counts,Counts(w),Counts(wo),N=2
1074,3,5,1,
1075,-1,3,2,
1076,3,5,1,
1077,0,2,1,
1078,0,2,1,
1079,-1,1,1,
1080,1,3,1,
1081,0,4,2,
1082,-1,3,2,
1083,-1,1,1,
1084,3,3,0,
1085,2,2,0,
1086,1,3,1,
1087,2,2,0,
1088,3,5,1,
1089,-1,1,1,
1090,-1,3,2,
1091,0,2,1,
1092,-1,3,2,
1093,4,4,0,
1094,1,3,1,
1095,3,3,0,
1096,0,2,1,
1097,1,3,1,
1098,-3,3,3,
1099,2,2,0,
1100,1,3,1,
1101,3,3,0,
1102,-2,2,2,
1103,-1,1,1,
1104,0,6,3,
1105,4,4,0,
1106,0,2,1,
1107,1,1,0,
1108,0,4,2,
1109,-4,2,3,
1110,-1,1,1,
1111,3,3,0,
1112,2,4,1,
1113,1,3,1,
1114,-1,3,2,
1115,-3,1,2,
1116,5,5,0,
1117,0,4,2,
1118,-2,2,2,
1119,0,0,0,
1120,-3,1,2,
1121,0,2,1,
1122,-2,0,1,
1123,-2,0,1,
1124,-1,3,2,
1125,-1,1,1,
1126,0,2,1,
1127,3,3,0,
1128,1,1,0,
1129,1,3,1,
1130,2,4,1,
1131,-1,1,1,
1132,1,3,1,
1133,-4,0,2,
1134,-3,1,2,
1135,1,1,0,
1136,-1,3,2,
1137,3,3,0,
1138,-2,0,1,
1139,0,2,1,
1140,3,3,0,
1141,-3,1,2,
1142,0,2,1,
1143,1,1,0,
1144,-1,3,2,
1145,-1,1,1,
1146,2,4,1,
1147,-2,2,2,
1148,-3,1,2,
1149,0,2,1,
1150,1,3,1,
1151,5,5,0,
1152,-2,0,1,
1153,3,3,0,
1154,2,2,0,
1155,3,3,0,
1156,4,4,0,
1157,1,1,0,
1158,1,3,1,
1159,-2,0,1,
1160,-1,1,1,
1161,1,1,0,
1162,1,3,1,
1163,-4,0,2,
1164,4,4,0,
1165,-1,1,1,
1166,-1,3,2,
1167,6,8,1,
1168,2,4,1,
1169,0,2,1,
1170,3,3,0,
1171,3,3,0,
1172,1,1,0,
1173,-1,3,2,
1174,0,2,1,
1175,-8,2,5,
1176,2,2,0,
1177,3,3,0,
1178,2,2,0,
1179,1,1,0,
1180,4,4,0,
1181,0,0,0,
1182,2,4,1,
1183,1,1,0,
1184,-2,0,1,
1185,-2,0,1,
1186,3,3,0,
1187,1,1,0,
1188,-2,0,1,
1189,2,4,1,
1190,-3,1,2,
1191,0,0,0,
1192,-2,0,1,
1193,-2,4,3,
1194,-4,0,2,
1195,0,0,0,
1196,1,3,1,
1197,-3,1,2,
1198,-1,1,1,
1199,-3,1,2,
1200,-3,3,3,
1201,1,3,1,
1202,0,4,2,
1203,0,2,1,
1204,0,2,1,
1205,-1,1,1,
1206,3,5,1,
1207,0,2,1,
1208,-3,1,2,
1209,2,2,0,
1210,4,4,0,
1211,0,2,1,
1212,-1,1,1,
1213,0,2,1,
1214,3,3,0,
1215,1,1,0,
1216,-1,1,1,
1217,0,0,0,
1218,1,1,0,
1219,-3,1,2,
1220,1,1,0,
1221,3,3,0,
1222,3,3,0,
1223,2,4,1,
1224,-3,1,2,
1225,2,4,1,
1226,-1,1,1,
1227,2,2,0,
1228,2,2,0,
1229,-1,1,1,
1230,1,3,1,
1231,0,2,1,
1232,2,2,0,
1233,0,2,1,
1234,-1,3,2,
1235,2,4,1,
1236,-1,1,1,
1237,1,3,1,
1238,4,4,0,
1239,1,1,0,
1240,-2,0,1,
1241,-2,2,2,
1242,2,2,0,
1243,-3,1,2,
1244,2,2,0,
1245,-2,2,2,
1246,3,3,0,
1247,-2,0,1,
1248,2,2,0,
1249,0,2,1,
1250,3,3,0,
1251,1,1,0,
1252,0,2,1,
1253,3,3,0,
1254,1,3,1,
1255,3,3,0,
1256,3,3,0,
1257,0,2,1,
1258,5,7,1,
1259,6,6,0,
1260,0,0,0,
1261,-2,0,1,
1262,1,3,1,
1263,0,4,2,
1264,3,3,0,
1265,3,3,0,
1266,-1,1,1,
1267,1,3,1,
1268,0,0,0,
1269,0,2,1,
1270,-4,0,2,
1271,3,3,0,
1272,3,3,0,
1273,1,1,0,
1274,-1,3,2,
1275,0,2,1,
1276,1,3,1,
1277,0,0,0,
1278,1,5,2,
1279,5,5,0,
1280,1,3,1,
1281,1,1,0,
1282,2,2,0,
