Channel,net Counts,Counts(w),Counts(wo),N=1.1586
1147,1,3,2,
1148,-1,2,3,
1149,2,4,2,
1150,2,3,1,
1151,5,5,0,
1152,3,4,1,
1153,-1,1,2,
1154,-2,3,4,
1155,-4,2,5,
1156,3,4,1,
1157,3,5,2,
1158,2,3,1,
1159,-1,2,3,
1160,1,2,1,
1161,1,4,3,
1162,-2,3,4,
1163,1,3,2,
1164,-1,1,2,
1165,3,3,0,
1166,1,2,1,
1167,2,4,2,
1168,2,3,1,
1169,4,6,2,
1170,0,3,3,
1171,3,4,1,
1172,2,3,1,
1173,1,2,1,
1174,1,3,2,
1175,0,5,4,
1176,-5,0,4,
1177,3,4,1,
1178,-3,2,4,
1179,0,0,0,
1180,3,3,0,
1181,-1,2,3,
1182,0,3,3,
1183,-4,2,5,
1184,0,2,2,
1185,-2,5,6,
1186,-1,1,2,
1187,-1,1,2,
1188,0,2,2,
1189,-4,2,5,
1190,-4,1,4,
1191,-3,2,4,
1192,0,1,1,
1193,2,4,2,
1194,5,7,2,
1195,2,3,1,
1196,6,6,0,
1197,1,3,2,
1198,-1,4,4,
1199,4,5,1,
1200,-1,5,5,
1201,4,4,0,
1202,3,5,2,
1203,2,3,1,
1204,1,2,1,
1205,-3,2,4,
1206,1,2,1,
1207,-2,3,4,
1208,-7,1,7,
1209,0,1,1,
1210,5,5,0,
1211,-2,1,3,
1212,0,5,4,
1213,-1,1,2,
1214,-4,1,4,
1215,4,5,1,
1216,4,5,1,
1217,4,5,1,
1218,-2,1,3,
1219,-1,4,4,
1220,-7,1,7,
1221,0,1,1,
1222,3,3,0,
1223,-2,1,3,
1224,-1,1,2,
1225,-2,0,2,
1226,-1,2,3,
1227,-3,2,4,
1228,0,3,3,
1229,3,4,1,
1230,-1,2,3,
1231,-1,4,4,
1232,1,2,1,
1233,-2,1,3,
1234,-2,1,3,
1235,-1,1,2,
1236,4,4,0,
1237,1,1,0,
1238,-2,3,4,
1239,3,4,1,
1240,2,3,1,
1241,-7,2,8,
1242,0,0,0,
1243,2,2,0,
1244,-1,4,4,
1245,-1,0,1,
1246,1,1,0,
1247,0,2,2,
1248,-4,1,4,
1249,5,5,0,
1250,-3,3,5,
1251,-4,3,6,
1252,-3,0,3,
1253,-1,2,3,
1254,-2,3,4,
1255,2,3,1,
1256,3,3,0,
1257,0,3,3,
1258,0,3,3,
1259,1,3,2,
1260,0,3,3,
1261,-3,0,3,
